,name,-95CLs,+95CLs
1,FM0,-733.2000122070312,735.5999755859375
0,FM1,-1149.0,1173.0
11,FM2,-362.3999938964844,360.79998779296875
2,FM3,-572.0,562.4000244140625
3,FM4,-19.299999237060547,19.899999618530273
8,FM5,-16.5,16.899999618530273
7,FM7,-113.69999694824219,114.9000015258789
12,FT0,-3.9549999237060547,3.9549999237060547
5,FT1,-4.598999977111816,4.585000038146973
4,FT2,-10.699999809265137,10.699999809265137
10,FT5,-3.875,3.8949999809265137
6,FT6,-4.557000160217285,4.598999977111816
9,FT7,-10.300000190734863,10.699999809265137
