Operator,Chi2,NDF,P-value
FM0,0.00172033336867797,11,1.0
FM1,0.006339624343914576,11,0.9999999999999999
FM2,0.11933480871464697,11,0.9999999993898709
FM3,0.16419223366084548,11,0.9999999965373247
FM4,0.30267709769330337,15,0.9999999999558948
FM5,0.402224209344406,15,0.9999999996438581
FM7,0.4486842354539922,15,0.9999999992078824
FT0,0.5217418247701782,15,0.9999999976220874
FT1,0.6063030927857855,15,0.9999999929318191
FT2,0.6977542770081677,15,0.999999980526077
FT5,0.7891471939638776,15,0.9999999529085916
FT6,0.7896834115710757,15,0.9999999526792144
FT7,0.7891538625654572,15,0.9999999529057447
