Operator,Chi2,NDF,P-value
FM0,1.2478556206298773e-05,11,1.0
FM1,0.001634127075399479,11,1.0
FM2,0.007302099834801665,11,0.9999999999999999
FM3,0.007350154138369912,11,0.9999999999999999
FM4,0.012692627024100915,15,1.0
FM5,0.01750198482852142,15,1.0
FM7,0.029072437164769416,15,1.0
FT0,0.03558833605875701,15,1.0
FT1,0.035628729856027344,15,1.0
FT2,0.03563458873345744,15,1.0
FT5,0.03562399973073966,15,1.0
FT6,0.03561835616173904,15,1.0
FT7,0.03563303576818101,15,1.0
