PT_2_eta_2 from_3_to_8 0.30117529069018123 0.055267138764533756 
PT_2_eta_2 from_3_to_9 0.2966403606354495 0.052387697299232615 
PT_2_eta_2 from_3_to_10 0.28784243235796464 0.047686108940230225 
PT_2_eta_2 from_3_to_11 0.2875514679670925 0.045926359132830545 
PT_2_eta_2 from_3_to_12 0.2854033781591617 0.04461390750869564 
PT_2_eta_2 from_3_to_13 0.28154737038435 0.04225317766657793 
PT_2_eta_2 from_4_to_9 0.2670803092730167 0.053476234206102397 
PT_2_eta_2 from_4_to_10 0.2613222882283816 0.051369513881298574 
PT_2_eta_2 from_4_to_11 0.2529966111580679 0.04682741268560917 
PT_2_eta_2 from_4_to_12 0.2576929700904525 0.04626779525219032 
PT_2_eta_2 from_4_to_13 0.2577819871397781 0.043135327069717525 
PT_2_eta_2 from_5_to_10 0.27469697685450245 0.0583324364625789 
PT_2_eta_2 from_5_to_11 0.26724868302265986 0.05241197574698052 
PT_2_eta_2 from_5_to_12 0.2716656258910845 0.051022692934311595 
PT_2_eta_2 from_5_to_13 0.257324816489613 0.045537203888801135 
PT_2_eta_2 from_6_to_11 0.2531426305275081 0.05478636320797726 
PT_2_eta_2 from_6_to_12 0.26841298404565 0.054346201208266914 
PT_2_eta_2 from_6_to_13 0.25653915319052806 0.04762382622291354 
PT_2_eta_2 from_7_to_12 0.2731014328537008 0.06271587012569933 
PT_2_eta_2 from_7_to_13 0.2630030795206707 0.054783926648904815 
PT_2_eta_2 from_8_to_13 0.23953523899531862 0.05958633708060468 
