process                  type                  aQGC_ch1      VG_ch1        VVV_ch1       Top_ch1       FakePho_ch1   VV_ch1        FakeLep_ch1   aQGC_ch2      VG_ch2        VVV_ch2       Top_ch2       FakePho_ch2   VV_ch2        FakeLep_ch2   aQGC_ch3      VG_ch3        VVV_ch3       Top_ch3       FakePho_ch3   VV_ch3        FakeLep_ch3 
WZG_pdf                 lnN                1.047622  -         -         -         -         -         -         1.055241  -         -         -         -         -         -         1.068662  -         -         -         -         -         -       
WZG_scale               lnN                1.081471  -         -         -         -         -         -         1.078236  -         -         -         -         -         -         1.085059  -         -         -         -         -         -       
btagWeight_bc_corr      lnN                1.000484  1.0       1.0       1.000866  -         1.001189  -         1.00025   1.0       1.005464  1.002115  -         1.000528  -         1.000492  1.0       1.000883  1.001925  -         1.000892  -       
btagWeight_bc_uncorr_16   lnN              1.000482  1.0       1.0       1.001093  -         1.001168  -         -         -         -         -         -         -         -         -         -         -         -         -         -         -       
btagWeight_bc_uncorr_17   lnN              -         -         -         -         -         -         -         1.00025   1.0       1.005464  1.001843  -         1.000496  -         -         -         -         -         -         -         -       
btagWeight_bc_uncorr_18   lnN              -         -         -         -         -         -         -         -         -         -         -         -         -         -         1.000491  1.0       1.000845  1.001701  -         1.000892  -       
btagWeight_l_corr       lnN                1.000168  1.0       1.0       1.02258   -         1.00872   -         1.000049  1.0       1.000822  1.059422  -         1.00042   -         1.005996  1.0       1.002474  1.059985  -         1.000358  -       
btagWeight_l_uncorr_16   lnN               1.000126  1.0       1.0       1.022536  -         1.008646  -         -         -         -         -         -         -         -         -         -         -         -         -         -         -       
btagWeight_l_uncorr_17   lnN               -         -         -         -         -         -         -         1.00004   1.0       1.000594  1.059405  -         1.000403  -         -         -         -         -         -         -         -       
btagWeight_l_uncorr_18   lnN               -         -         -         -         -         -         -         -         -         -         -         -         -         -         1.005948  1.0       1.002388  1.059682  -         1.000259  -       
ele_id                  lnN                1.090389  1.0       1.0       1.170343  -         1.025329  -         1.055409  2.004717  1.024385  1.036405  -         1.05106   -         1.029316  1.0       1.033644  1.023133  -         1.055881  -       
ele_reco                lnN                1.013292  1.0       1.0       1.031299  -         1.008394  -         1.009051  1.047916  1.004989  1.01017   -         1.009441  -         1.010306  1.0       1.00838   1.005181  -         1.007978  -       
fakerate_16Ele          lnN                -         -         -         -         -         -         1.186011  -         -         -         -         -         -         -         -         -         -         -         -         -         -       
fakerate_16Mu           lnN                -         -         -         -         -         -         1.237446  -         -         -         -         -         -         -         -         -         -         -         -         -         -       
fakerate_16Sta          lnN                -         -         -         -         -         -         1.11041   -         -         -         -         -         -         -         -         -         -         -         -         -         -       
fakerate_17Ele          lnN                -         -         -         -         -         -         -         -         -         -         -         -         -         1.089394  -         -         -         -         -         -         -       
