name,path,xsec
FM2_2.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_12/unweighted_events.root,0.01646
FM2_4.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_13/unweighted_events.root,0.01657
FM3_1.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_14/unweighted_events.root,0.01652
FM3_2.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_15/unweighted_events.root,0.01643
FM3_4.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_16/unweighted_events.root,0.01652
FM3_6.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_17/unweighted_events.root,0.01653
FM4_5.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_18/unweighted_events.root,0.01654
FM4_1.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_19/unweighted_events.root,0.01658
FM4_1.50E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_20/unweighted_events.root,0.01655
FM4_2.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_21/unweighted_events.root,0.01658
FM5_3.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_22/unweighted_events.root,0.01658
FM5_5.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_23/unweighted_events.root,0.01651
FM5_7.00E-12,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_24/unweighted_events.root,0.01649
FM5_1.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_25/unweighted_events.root,0.01658
FM7_1.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_26/unweighted_events.root,0.01662
FM7_3.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_27/unweighted_events.root,0.01653
FM7_5.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_28/unweighted_events.root,0.01657
FM7_7.00E-11,/x5/cms/jwkim/MG5_aMC_v2_7_3/WZAToLNuLLA_LO_QCKM_FM/Events/Evt10000/run_29/unweighted_events.root,0.01656
