PT_1_eta_1 from_3_to_8 0.2943813218298753 0.02037018393112627 
PT_1_eta_1 from_3_to_9 0.2778530853867569 0.01900899136812419 
PT_1_eta_1 from_3_to_10 0.26580041974904645 0.018066833546687214 
PT_1_eta_1 from_3_to_11 0.26514426169498445 0.017726037880220917 
PT_1_eta_1 from_3_to_12 0.26482845769505825 0.017608634306065015 
PT_1_eta_1 from_3_to_13 0.26190752888378543 0.017208021851085196 
PT_1_eta_1 from_4_to_9 0.23238544648093443 0.020108048835709585 
PT_1_eta_1 from_4_to_10 0.22122937203031598 0.01894042796349088 
PT_1_eta_1 from_4_to_11 0.2233229157455541 0.0186126653802075 
PT_1_eta_1 from_4_to_12 0.2288040889015951 0.018635696684244 
PT_1_eta_1 from_4_to_13 0.2223815260373865 0.017894761773648283 
PT_1_eta_1 from_5_to_10 0.19636730530013474 0.02035408338180862 
PT_1_eta_1 from_5_to_11 0.20367072170571388 0.02002004975707223 
PT_1_eta_1 from_5_to_12 0.20791442349983036 0.020015475341796946 
PT_1_eta_1 from_5_to_13 0.2073909785100803 0.019383066294888906 
PT_1_eta_1 from_6_to_11 0.18229467140399616 0.022079249218703318 
PT_1_eta_1 from_6_to_12 0.18679567202410302 0.022080231227842324 
PT_1_eta_1 from_6_to_13 0.19020189135582147 0.021004712520275103 
PT_1_eta_1 from_7_to_12 0.15811151020784847 0.022902046280616584 
PT_1_eta_1 from_7_to_13 0.1599850746860237 0.021439489029318817 
PT_1_eta_1 from_8_to_13 0.15524872311291085 0.024407934332423976 
